pclass,survived,embarked,home.dest,sex
3rd,alive,Queenstown,CoLongfordIrelandNewYorkNY,female
3rd,alive,Queenstown,CoLongfordIrelandNewYorkNY,female
3rd,dead,Queenstown,CoSligoIrelandHartfordCT,female
3rd,dead,Queenstown,CoSligoIrelandNewYorkNY,female
3rd,dead,Queenstown,Ireland,female
3rd,alive,Queenstown,Ireland,female
3rd,dead,Queenstown,Ireland,male
3rd,dead,Queenstown,IrelandBrooklynNY,male
3rd,dead,Queenstown,IrelandChicagoIL,male
3rd,dead,Queenstown,IrelandChicagoIL,female
3rd,dead,Queenstown,IrelandChicagoIL,female
3rd,dead,Queenstown,IrelandChicagoIL,male
3rd,dead,Queenstown,IrelandNewYorkNY,male
3rd,dead,Queenstown,IrelandNewYorkNY,female
3rd,dead,Queenstown,IrelandNewYorkNY,male
3rd,dead,Queenstown,IrelandPhiladelphiaPA,male
3rd,alive,Queenstown,KilmacowenCoSligoIrelandNewYorkNY,female
3rd,alive,Queenstown,KingwilliamstownCoCorkIrelandGlensFallsNY,female
3rd,alive,Queenstown,KingwilliamstownCoCorkIrelandNewYorkNY,male
3rd,dead,Queenstown,NewYorkNY,female
3rd,dead,Queenstown,NewYorkNY,male
3rd,dead,Queenstown,PhiladelphiaPA,male
3rd,dead,Southampton,AltdorfSwitzerland,male
3rd,dead,Southampton,AltdorfSwitzerland,female
3rd,dead,Southampton,Argentina,male
3rd,dead,Southampton,AsarumSwedenBrooklynNY,male
3rd,alive,Southampton,AustraliaFingalND,male
3rd,dead,Southampton,Austria,male
3rd,dead,Southampton,Austria,male
3rd,dead,Southampton,Austria,male
3rd,dead,Southampton,Austria,male
3rd,dead,Southampton,AustriaHungary,male
3rd,alive,Southampton,BelgiumDetroitMI,male
3rd,dead,Southampton,BergenNorway,male
3rd,dead,Southampton,BournemouthEngland,male
3rd,dead,Southampton,BournemouthEnglandNewarkNJ,male
3rd,alive,Southampton,BournemouthEnglandNewarkNJ,female
3rd,dead,Southampton,BrennesNorwayNewYork,male
3rd,dead,Southampton,BridgeruleDevon,male
3rd,dead,Southampton,BridgeruleDevon,male
3rd,dead,Southampton,BridgwaterSomersetEngland,male
3rd,dead,Southampton,BristolEnglandClevelandOH,male
3rd,dead,Southampton,BroomfieldChelmsfordEngland,male
3rd,dead,Southampton,BulgariaChicagoIL,male
3rd,dead,Southampton,BulgariaChicagoIL,male
3rd,dead,Southampton,BulgariaChicagoIL,male
3rd,dead,Southampton,BulgariaChicagoIL,male
3rd,dead,Southampton,BulgariaChicagoIL,male
3rd,dead,Southampton,BulgariaCoonRapidsIA,male
3rd,dead,Southampton,Croatia,male
3rd,dead,Southampton,Croatia,male
3rd,dead,Southampton,Croatia,male
3rd,dead,Southampton,Croatia,male
3rd,dead,Southampton,DagsasSwedenFowerMN,male
3rd,dead,Southampton,DevonEnglandWichitaKS,male
3rd,alive,Southampton,DevonEnglandWichitaKS,female
3rd,alive,Southampton,DevonEnglandWichitaKS,male
3rd,alive,Southampton,DevonEnglandWichitaKS,female
3rd,dead,Southampton,DorkingSurreyEngland,male
3rd,dead,Southampton,EastProvidenceRI,male
3rd,dead,Southampton,EastProvidenceRI,male
3rd,alive,Southampton,EastProvidenceRI,female
3rd,dead,Southampton,EffingtonRutSD,male
3rd,dead,Southampton,England,male
3rd,dead,Southampton,EnglandAlbionNY,male
3rd,alive,Southampton,EnglandAlbionNY,male
3rd,alive,Southampton,EnglandBrooklynNY,female
3rd,alive,Southampton,EnglandBrooklynNY,male
3rd,alive,Southampton,EnglandBrooklynNY,male
3rd,dead,Southampton,EnglandNewYorkNY,male
3rd,alive,Southampton,EnglandOglesbyIL,male
3rd,dead,Southampton,FinlandSudburyON,male
3rd,dead,Southampton,ForesvikNorwayPortlandND,male
3rd,dead,Southampton,GoteborgSwedenHuntleyIL,male
3rd,dead,Southampton,HartfordCT,male
3rd,alive,Southampton,HongKongNewYorkNY,male
3rd,dead,Southampton,HongKongNewYorkNY,male
3rd,alive,Southampton,HongKongNewYorkNY,male
3rd,dead,Southampton,IllinoisUSA,male
3rd,dead,Southampton,IrelandNewYorkNY,male
3rd,alive,Southampton,ItalyPhiladelphiaPA,male
3rd,dead,Southampton,KarbergSwedenJeromeJunctionAZ,male
3rd,dead,Southampton,KrakorydSwedenBloomingtonIL,male
3rd,dead,Southampton,KrakuddenSwedenMouneIL,male
3rd,dead,Southampton,LiverpoolEnglandBedfordOH,male
3rd,alive,Southampton,LiverpoolEnglandBedfordOH,female
3rd,dead,Southampton,London,male
3rd,dead,Southampton,London,male
3rd,alive,Southampton,LondonBrooklynNY,male
3rd,alive,Southampton,LondonNewYorkNY,female
3rd,alive,Southampton,LondonSkantealesNY,female
3rd,alive,Southampton,LondonEnglandNorfolkVA,female
3rd,alive,Southampton,LondonEnglandNorfolkVA,male
3rd,dead,Southampton,LowerClaptonMiddlesexorErdingtonBirmingham,male
3rd,dead,Southampton,MedeltorpSwedenChicagoIL,female
3rd,dead,Southampton,MerrillWI,male
3rd,dead,Southampton,MyrenSwedenNewYorkNY,male
3rd,dead,Southampton,NewYorkNY,male
3rd,alive,Southampton,NewYorkNY,female
3rd,dead,Southampton,NorrlotSwedenChicagoIL,female
3rd,alive,Southampton,NorwayLosAngelesCA,female
3rd,alive,Southampton,OskarshamnSwedenMinneapolisMN,male
3rd,dead,Southampton,OsloNorwayCameronWI,male
3rd,alive,Southampton,PerkinsCountySD,male
3rd,dead,Southampton,PhiladelphiaPA,male
3rd,dead,Southampton,Portugal,male
3rd,dead,Southampton,Portugal,male
3rd,dead,Southampton,RotherfieldSussexEnglandEssexCoMA,female
3rd,dead,Southampton,RotherfieldSussexEnglandEssexCoMA,male
3rd,dead,Southampton,RotherfieldSussexEnglandEssexCoMA,female
3rd,dead,Southampton,RotherfieldSussexEnglandEssexCoMA,female
3rd,dead,Southampton,RotherfieldSussexEnglandEssexCoMA,male
3rd,alive,Southampton,RuotsinphyhtaaFinlandNewYorkNY,female
3rd,dead,Southampton,RuotsinphytaaFinlandNewYorkNY,male
3rd,alive,Southampton,RuotsinphytaaFinlandNewYorkNY,female
3rd,dead,Southampton,RuotsinphytaaFinlandNewYorkNY,male
3rd,dead,Southampton,RuotsinphytaaFinlandNewYorkNY,male
3rd,dead,Southampton,SaloFinlandAstoriaOR,male
3rd,dead,Southampton,StDenysSouthamptonHants,male
3rd,dead,Southampton,StantonIA,male
3rd,dead,Southampton,StantonIA,female
3rd,dead,Southampton,StantonIA,male
3rd,dead,Southampton,StockholmSwedenNewYork,male
3rd,dead,Southampton,StroodKentEnglandDetroitMI,male
3rd,alive,Southampton,StroodKentEnglandDetroitMI,female
3rd,alive,Southampton,StroodKentEnglandDetroitMI,male
3rd,dead,Southampton,SwedenWorcesterMA,male
3rd,alive,Southampton,SwedenWorcesterMA,female
3rd,dead,Southampton,SwedenWorcesterMA,male
3rd,dead,Southampton,SwedenAkeleyMN,female
3rd,dead,Southampton,SwedenChicagoIL,male
3rd,dead,Southampton,SwedenJolietIL,male
3rd,dead,Southampton,SwedenWinnipegMN,male
3rd,dead,Southampton,SwedenWinnipegMN,female
3rd,dead,Southampton,SwedenWinnipegMN,female
3rd,dead,Southampton,SwedenWinnipegMN,female
3rd,dead,Southampton,SwedenWinnipegMN,female
3rd,dead,Southampton,SwedenWinnipegMN,female
3rd,dead,Southampton,SwedenWinnipegMN,male
3rd,dead,Southampton,SwedenWorcesterMA,male
3rd,alive,Southampton,SwedenWorcesterMA,male
3rd,dead,Southampton,SwedenWorcesterMA,male
3rd,alive,Southampton,SwedenWorcesterMA,female
3rd,dead,Southampton,SwedenWorcesterMA,male
3rd,alive,Southampton,TaalintehdasFinlandHobokenNJ,male
3rd,alive,Southampton,TampicoMT,male
3rd,alive,Southampton,TampicoMT,female
3rd,dead,Southampton,ToftaSwedenJolietIL,male
3rd,dead,Southampton,TranvikFinlandNewYork,male
3rd,dead,Southampton,TreherbertCardiffWales,male
3rd,alive,Southampton,UnionHillNJ,female
3rd,dead,Southampton,VadsbroSwedenMinisteeMI,female
3rd,dead,Southampton,WaukeganChicagoIL,male
3rd,dead,Southampton,WestBromwichEnglandPontiacMI,male
3rd,dead,Southampton,WestBromwichEnglandPontiacMI,male
3rd,dead,Southampton,WestBromwichEnglandPontiacMI,male
3rd,dead,Southampton,WestHavenCT,male
3rd,alive,Southampton,WestHavenCT,female
3rd,dead,Southampton,WiltshireEnglandNiagaraFallsNY,male
3rd,dead,Southampton,WiltshireEnglandNiagaraFallsNY,female
3rd,dead,Southampton,WiltshireEnglandNiagaraFallsNY,male
3rd,dead,Southampton,WiltshireEnglandNiagaraFallsNY,female
3rd,dead,Southampton,WiltshireEnglandNiagaraFallsNY,male
3rd,dead,Southampton,WiltshireEnglandNiagaraFallsNY,female
3rd,dead,Southampton,WiltshireEnglandNiagaraFallsNY,male
3rd,dead,Southampton,WiltshireEnglandNiagaraFallsNY,male
3rd,dead,Southampton,WindsorEnglandNewYorkNY,male
